"","sp.code","id","X","class","values","total","Common.name..Species.","Species","Diagnosis","Neoplasia.Site","Tumor.type"
"113","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Specificity","Cancer",0.982051282051282,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"114","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Specificity","Overall",0.964954174674658,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"115","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Specificity","mean",0.964954174674658,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"116","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Pos Pred Value","Stromal",0.809523809523809,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"117","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Pos Pred Value","Lymphocyte",0.904109589041096,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"118","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Pos Pred Value","Cancer",0.978125,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"119","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Pos Pred Value","Overall",0.897252799521635,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"120","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Pos Pred Value","mean",0.897252799521635,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"121","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Neg Pred Value","Stromal",0.921052631578947,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"122","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Neg Pred Value","Lymphocyte",0.984018264840183,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"123","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Neg Pred Value","Cancer",0.934146341463415,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"124","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Neg Pred Value","Overall",0.946405745960848,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"125","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Neg Pred Value","mean",0.946405745960848,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"126","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Precision","Stromal",0.80952380952381,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"127","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Precision","Lymphocyte",0.904109589041096,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"128","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Precision","Cancer",0.978125,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"129","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Precision","Overall",0.897252799521635,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"130","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Precision","mean",0.897252799521635,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"131","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","F1","Stromal",0.669950738916256,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"132","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","F1","Lymphocyte",0.937833037300178,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"133","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","F1","Cancer",0.948484848484848,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"134","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","F1","Overall",0.852089541567094,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"135","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","F1","mean",0.852089541567094,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"136","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Balanced Accuracy","Stromal",0.772620996025251,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
